NT17.4-1	CESiberia_2n
NT17.4-2	CESiberia_2n
NT17.4-3	CESiberia_2n
NT17.4-4	CESiberia_2n
NT17.5-1	CESiberia_2n
NT18-1	CESiberia_2n
NT18-2	CESiberia_2n
NT18-3	CESiberia_2n
NT18-4	CESiberia_2n
NT18-6	CESiberia_2n
NT19.1-1	CESiberia_2n
NT19.1-2	CESiberia_2n
NT19.1-3	CESiberia_2n
NT19.1-4	CESiberia_2n
NT19.1-5	CESiberia_2n
NT19.1-6	CESiberia_2n
NT19.2-1	CESiberia_2n
NT19.2-2	CESiberia_2n
NT19.3-1	CESiberia_2n
NT19.3-2	CESiberia_2n
NT19.3-3	CESiberia_2n
NT2_1_1	CESiberia_2n
NT2_2_1	CESiberia_2n
NT2_3_1	CESiberia_2n
NT2_4_1	CESiberia_2n
NT2_5_1	CESiberia_2n
NT20.1-1	CESiberia_2n
NT20.3-1	CESiberia_2n
NT20.3-2	CESiberia_2n
NT20.3-3	CESiberia_2n
NT20.4-1	CESiberia_2n
NT20.4-2	CESiberia_2n
NT20.4-3	CESiberia_2n
NT20.6-2	CESiberia_2n
NT20.6-3	CESiberia_2n
NT4_2_1	CESiberia_2n
NT4_3_1	CESiberia_2n
NT4.1	CESiberia_2n
NT5_1_1	CESiberia_2n
NT5_2_1	CESiberia_2n
NT5_3_1	CESiberia_2n
NT8_1_1	CESiberia_2n
NT8_2_1	CESiberia_2n
NT8_3_1	CESiberia_2n
NT8_4_1	CESiberia_2n
NT8_5_1	CESiberia_2n
NT8.3-4	CESiberia_2n
NT8.4-5	CESiberia_2n
NT9_1_1	CESiberia_2n
NT9_2_1	CESiberia_2n
NT9_3_1	CESiberia_2n
NT9_4_1	CESiberia_2n
NT9_5_1	CESiberia_2n
PU_1mix-1_4n	PUWS_4n
PU_1mix-2_4n	PUWS_4n
PU_2mix-1_4n	PUWS_4n
PU_2mix-2_4n	PUWS_4n
PU_3mix-1_4n	PUWS_4n
PU_3mix-2_4n	PUWS_4n
PU_4mix-1_4n	PUWS_4n
PU_4mix-2_4n	PUWS_4n
PU_5mix-1_4n	PUWS_4n
PU_5mix-2_4n	PUWS_4n
PU_6.1-1_4n	PUWS_4n
PU_6.1-2_4n	PUWS_4n
PU_6.2-1_4n	PUWS_4n
PU_6.2-2_4n	PUWS_4n
PU_6.3-1_4n	PUWS_4n
PU_6.3-2_4n	PUWS_4n
PU_6.4-1_4n	PUWS_4n
PU_6.4-2_4n	PUWS_4n
PU_6.5-1_4n	PUWS_4n
PU_6.5-2_4n	PUWS_4n
PU_6.6-1_4n	PUWS_4n
PU_6.6-2_4n	PUWS_4n
PU_6.7-1_4n	PUWS_4n
PU_6.7-2_4n	PUWS_4n
PU_6.8-1_4n	PUWS_4n
PU_6.8-2_4n	PUWS_4n
PU_6mix-1_4n	PUWS_4n
PU_6mix-2_4n	PUWS_4n
PU_7.1-1_4n	PUWS_4n
PU_7.1-2_4n	PUWS_4n
PU_7.2-1_4n	PUWS_4n
PU_7.2-2_4n	PUWS_4n
PU_7mix-1_4n	PUWS_4n
PU_7mix-2_4n	PUWS_4n
SRR2040769	NA_2n
SRR2040770	NA_2n
SRR2040775	ceb
SRR2040776	ceb
SRR2040777	ceb
SRR2040788	NA_2n
SRR2040789	NA_2n
SRR2040790	Germany_2n
SRR2040791	Chechia_2n
SRR2040793	UKScandinavia_2n
SRR2040794	UKScandinavia_2n
SRR2040795	Karelia_2n
SRR2040796	exclude
